track,date,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,NA,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url,NA_url
nurburgring,2003-06-01,106,Volvo S60 - Volvo,11,A4,Mühlner Motorsport SPRL,-,-,Ullrich Andree (D)/Heinz-Josef Bermes (D)/Andy Middendorf (D)/Mario Ketterer (D),NA,NA,NA,NA,NA,Volvo,S60,NA,NA,NA,Result: 11th 1st in A4 (14 laps behind the winner)Grid: 49th (10:22.9900),11th 1st in A4 (14 laps behind the winner)Grid: 49th (10:22.9900),finished,49,10:22.9900,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Volvo.html,https://www.racingsportscars.com/type/photo/Volvo/S60.html,NA,NA,NA
nurburgring,2003-06-01,37,Porsche 993 Carrera RSR - Porsche,12,A7,Rheydter Club für Motorsport,Closed bodywork,Rear-engined,Johannes Paczynski (D)/Bernd Haid/Heinz-Josef Bermes (D)/Thomas Koll (D),NA,NA,NA,NA,NA,Porsche,993 Carrera,RSR,NA,NA,Result: 12th (14 laps behind the winner)Grid: 29th (10:04.2380),12th (14 laps behind the winner)Grid: 29th (10:04.2380),finished,29,10:04.2380,14 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/993%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/993%20Carrera/RSR.html,NA,NA
nurburgring,2003-06-01,53,BMW M3 E46 - BMW,13,A6,Rheydter Club für Motorsport,Closed bodywork,Front-engined,Alfred Wolfsgruber/Michael Gehring/Joachim Kiesch (D)/Klaus E.-Schnür,NA,NA,NA,NA,NA,BMW,M3,E46,NA,NA,Result: 13th (15 laps behind the winner)Grid: 48th (10:21.9480),13th (15 laps behind the winner)Grid: 48th (10:21.9480),finished,48,10:21.9480,15 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E46.html,NA,NA
nurburgring,2003-06-01,74,BMW M3 E46 GTR - BMW,14,A5,MSC Ruhr-Blitz Bochum e.V. im ADAC,Closed bodywork,Front-engined,Willi Obermann (D)/Manfred Stetter/Hermann Tilke (D)/Paul Hulverscheid (D),NA,NA,NA,NA,NA,BMW,M3,E46 GTR,NA,NA,Result: 14th 1st in A5 (15 laps behind the winner)Grid: 41st (10:18.6380),14th 1st in A5 (15 laps behind the winner)Grid: 41st (10:18.6380),finished,41,10:18.6380,15 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E46%20GTR.html,NA,NA
nurburgring,2003-06-01,102,BMW M3 E30 - BMW,15,A4,Soda-Club-Team,Closed bodywork,Front-engined,Hans-Hatto Karl/Rainer Wehner/Peter Bauer,NA,NA,NA,NA,NA,BMW,M3,E30,NA,NA,Result: 15th (16 laps behind the winner)Grid: 42nd (10:18.8170),15th (16 laps behind the winner)Grid: 42nd (10:18.8170),finished,42,10:18.8170,16 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E30.html,NA,NA
nurburgring,2003-06-01,75,Audi TT - Audi,16,A5,(D),Closed bodywork,Mid-engined,Günter Kühlewein (D)/Roland Waschkau (D)/Martin Zondler,NA,NA,NA,NA,NA,Audi,TT,NA,NA,NA,Result: 16th (17 laps behind the winner)Grid: 62nd (10:33.7870),16th (17 laps behind the winner)Grid: 62nd (10:33.7870),finished,62,10:33.7870,17 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/TT.html,NA,NA,NA
nurburgring,2003-06-01,47,Porsche 996 - Porsche,17,A7,Podium Racing,Closed bodywork,Rear-engined,Lennart Pehrson (S)/Koit Veertee (S)/Hans-Erik Andersson/Ulf Karlsson (S),NA,NA,NA,NA,NA,Porsche,996,NA,NA,NA,Result: 17th (17 laps behind the winner)Grid: 23rd (9:51.3760),17th (17 laps behind the winner)Grid: 23rd (9:51.3760),finished,23,9:51.3760,17 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/996.html,NA,NA,NA
nurburgring,2003-06-01,126,Opel Astra Coupé - Opel,18,A3,Kissling Motorsport,-,-,Stefan Kissling (D)/Wolfgang Haugg (D)/Rainer Bastuck/Josef Klüber (D),NA,NA,NA,NA,NA,Opel,Astra,Coupé,NA,NA,Result: 18th (18 laps behind the winner)Grid: 44th (10:20.2000),18th (18 laps behind the winner)Grid: 44th (10:20.2000),finished,44,10:20.2000,18 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Astra.html,https://www.racingsportscars.com/suffix/photo/Opel/Astra/Coup%c3%a9.html,NA,NA
nurburgring,2003-06-01,247,Alfa Romeo 147 JTD - Alfa Romeo,19,S1,,-,-,Stefan Neuberger (D)/Raimund Baumschlager (A)/Manfred Theisen,NA,NA,NA,NA,NA,Alfa Romeo,147,JTD,NA,NA,Result: 19th 1st in S1 (18 laps behind the winner)Grid: 57th (10:28.0811),19th 1st in S1 (18 laps behind the winner)Grid: 57th (10:28.0811),finished,57,10:28.0811,18 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Alfa%20Romeo.html,https://www.racingsportscars.com/type/photo/Alfa%20Romeo/147.html,https://www.racingsportscars.com/suffix/photo/Alfa%20Romeo/147/JTD.html,NA,NA
nurburgring,2003-06-01,55,Porsche 993 Carrera RSR - Porsche,20,A7,,Closed bodywork,Rear-engined,Uwe Reich (D)/Michael Prym (A)/Ulli Packeisen (D)/Andreas Ackermann,NA,NA,NA,NA,NA,Porsche,993 Carrera,RSR,NA,NA,Result: 20th (18 laps behind the winner)Grid: 53rd (10:23.8360),20th (18 laps behind the winner)Grid: 53rd (10:23.8360),finished,53,10:23.8360,18 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/993%20Carrera.html,https://www.racingsportscars.com/suffix/photo/Porsche/993%20Carrera/RSR.html,NA,NA
nurburgring,2003-06-01,71,BMW M3 E36 - BMW,21,A5,,Closed bodywork,Front-engined,Klaus Müller (D)/Helmut Abels/René Gassen/Jörg Seidel (D),NA,NA,NA,NA,NA,BMW,M3,E36,NA,NA,Result: 21st (19 laps behind the winner)Grid: 47th (10:20.9420),21st (19 laps behind the winner)Grid: 47th (10:20.9420),finished,47,10:20.9420,19 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E36.html,NA,NA
nurburgring,2003-06-01,45,Saab 9-3 Sport - Saab,22,A6,,-,-,Peter Wallenberg (S)/Hans Simonsson/Joakim Thörjesson,NA,NA,NA,NA,NA,Saab,9-3,Sport,NA,NA,Result: 22nd (20 laps behind the winner)Grid: 34th (10:10.2600),22nd (20 laps behind the winner)Grid: 34th (10:10.2600),finished,34,10:10.2600,20 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Saab.html,https://www.racingsportscars.com/type/photo/Saab/9-3.html,https://www.racingsportscars.com/suffix/photo/Saab/9-3/Sport.html,NA,NA
nurburgring,2003-06-01,198,BMW M3 E30 - BMW,23,V4,Dolate Motorsport,Closed bodywork,Front-engined,Alexander Böhm (D)/Thomas Mundorf/Frank Haack/Thomas Ehleiter,NA,NA,NA,NA,NA,BMW,M3,E30,NA,NA,Result: 23rd 1st in V4 (21 laps behind the winner)Grid: 118th (11:06.6130),23rd 1st in V4 (21 laps behind the winner)Grid: 118th (11:06.6130),finished,118,11:06.6130,21 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E30.html,NA,NA
nurburgring,2003-06-01,135,VW Golf IV Kit Car - VW,24,A3,H & R Spezialfedern,Closed bodywork,Front-engined,Michael Dernedde/Heinz Remmen/Kai Jordan (D)/Klaus-Peter Thaler,NA,NA,NA,NA,NA,VW,Golf,IV Kit Car,NA,NA,Result: 24th (21 laps behind the winner)Grid: 40th (10:18.6220),24th (21 laps behind the winner)Grid: 40th (10:18.6220),finished,40,10:18.6220,21 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/VW.html,https://www.racingsportscars.com/type/photo/VW/Golf.html,https://www.racingsportscars.com/suffix/photo/VW/Golf/IV%20Kit%20Car.html,NA,NA
nurburgring,2003-06-01,219,Honda Civic Type R - Honda,25,N2,Scuderia Offenbach e.V. im AvD,-,-,Andreas Weiland (D)/Ralph-Peter Rink (D)/Frank Lohmann (D)/Jürgen Borss,NA,NA,NA,NA,NA,Honda,Civic,Type R,NA,NA,Result: 25th 1st in N2 (21 laps behind the winner)Grid: 88th (10:53.7410),25th 1st in N2 (21 laps behind the winner)Grid: 88th (10:53.7410),finished,88,10:53.7410,21 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/Type%20R.html,NA,NA
nurburgring,2003-06-01,179,Peugeot 306 S16 - Peugeot,26,V3,Schirra Motoring,-,-,Jürgen Nett (D)/Rolf Schütz/Peter Heckmann/Klaus Knorra,NA,NA,NA,NA,NA,Peugeot,306,S16,NA,NA,Result: 26th 1st in V3 (22 laps behind the winner)Grid: 110th (11:03.3311),26th 1st in V3 (22 laps behind the winner)Grid: 110th (11:03.3311),finished,110,11:03.3311,22 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Peugeot.html,https://www.racingsportscars.com/type/photo/Peugeot/306.html,https://www.racingsportscars.com/suffix/photo/Peugeot/306/S16.html,NA,NA
nurburgring,2003-06-01,227,Honda Civic Type R - Honda,27,N2,Team Mintgen Motorsport,-,-,Joachim Thiel/Gert Butenhoff/Zoran Radulovic (D)/Jürgen Dorband,NA,NA,NA,NA,NA,Honda,Civic,Type R,NA,NA,Result: 27th (22 laps behind the winner)Grid: 135th (11:15.3929),27th (22 laps behind the winner)Grid: 135th (11:15.3929),finished,135,11:15.3929,22 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/Type%20R.html,NA,NA
nurburgring,2003-06-01,7,Audi TT-R Abt - Audi,28,E1,Abt Sportsline,Closed bodywork,Mid-engined,Christian Abt (D)/Frank Biela (D)/Mattias Ekström (S)/Karl Wendlinger (A),NA,NA,NA,NA,NA,Audi,TT,-R Abt,NA,NA,Result: 28th (22 laps behind the winner)Grid: 9th (9:11.5770),28th (22 laps behind the winner)Grid: 9th (9:11.5770),finished,9,9:11.5770,22 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Audi.html,https://www.racingsportscars.com/type/photo/Audi/TT.html,https://www.racingsportscars.com/suffix/photo/Audi/TT/-R%20Abt.html,NA,NA
nurburgring,2003-06-01,188,Mercedes-Benz 190 E Evo 1 - Mercedes-Benz N/A,29,V4,Carlsson Racing,Closed bodywork,Front-engined,Rainer Brückner/Klaus Götzmann/Uwe Krumscheid (D)/Paul Singer,NA,NA,NA,NA,NA,Mercedes-Benz,190 E,Evo 1,NA,NA,Result: 29th (23 laps behind the winner)Grid: 81st (10:47.5580),29th (23 laps behind the winner)Grid: 81st (10:47.5580),finished,81,10:47.5580,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Mercedes-Benz.html,https://www.racingsportscars.com/type/photo/Mercedes-Benz/190%20E.html,https://www.racingsportscars.com/suffix/photo/Mercedes-Benz/190%20E/Evo%201.html,NA,NA
nurburgring,2003-06-01,182,Opel Astra OPC - Opel,30,V3,Pink Power Taunus Racing Team,-,-,Ludger Henrich/Jürgen Schulten (D)/Karl Mauer (D)/Peter Wyss (CH),NA,NA,NA,NA,NA,Opel,Astra,OPC,NA,NA,Result: 30th (23 laps behind the winner)Grid: 130th (11:12.3760),30th (23 laps behind the winner)Grid: 130th (11:12.3760),finished,130,11:12.3760,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Opel.html,https://www.racingsportscars.com/type/photo/Opel/Astra.html,https://www.racingsportscars.com/suffix/photo/Opel/Astra/OPC.html,NA,NA
nurburgring,2003-06-01,100,Mercedes-Benz 190 E - Mercedes-Benz N/A,31,V4,Der Stern von Willich Motorsport,Closed bodywork,Front-engined,Thomas Schmid/Reza Khorasantchi/Heinrich Rosier/Frank Borkowsky,NA,NA,NA,NA,NA,Mercedes-Benz,190 E,NA,NA,NA,Result: 31st (23 laps behind the winner)Grid: 90th (10:53.5200),31st (23 laps behind the winner)Grid: 90th (10:53.5200),finished,90,10:53.5200,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Mercedes-Benz.html,https://www.racingsportscars.com/type/photo/Mercedes-Benz/190%20E.html,NA,NA,NA
nurburgring,2003-06-01,218,Honda Civic Type R - Honda,32,N2,,-,-,Frank Kuhlmann (D)/Mark Giesbrecht (D)/Patrick Dubois (L)/Rolf Scheuring,NA,NA,NA,NA,NA,Honda,Civic,Type R,NA,NA,Result: 32nd (23 laps behind the winner)Grid: 92nd (10:54.6940),32nd (23 laps behind the winner)Grid: 92nd (10:54.6940),finished,92,10:54.6940,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/Type%20R.html,NA,NA
nurburgring,2003-06-01,214,Honda Civic Type R - Honda,33,N2,,-,-,Wilfried Schmitz (D)/Michael Ecker/Bernd Degner (D)/Uwe Unteroberdörster,NA,NA,NA,NA,NA,Honda,Civic,Type R,NA,NA,Result: 33rd (23 laps behind the winner)Grid: 108th (11:02.8600),33rd (23 laps behind the winner)Grid: 108th (11:02.8600),finished,108,11:02.8600,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Honda.html,https://www.racingsportscars.com/type/photo/Honda/Civic.html,https://www.racingsportscars.com/suffix/photo/Honda/Civic/Type%20R.html,NA,NA
nurburgring,2003-06-01,80,Porsche 968 RS - Porsche,34,A5,,-,-,Harald Egger/Peter Bergmann/Hannes Ressl/Reinhard Wenger,NA,NA,NA,NA,NA,Porsche,968,RS,NA,NA,Result: 34th (23 laps behind the winner)Grid: 105th (11:00.9170),34th (23 laps behind the winner)Grid: 105th (11:00.9170),finished,105,11:00.9170,23 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/968.html,https://www.racingsportscars.com/suffix/photo/Porsche/968/RS.html,NA,NA
nurburgring,2003-06-01,197,BMW M3 E30 - BMW,35,V4,DMC Dürener Motorsportclub,Closed bodywork,Front-engined,Sascha Hancke (D)/Jürgen Peter (D)/Matthew Truelove/Andre Krumbach (D),NA,NA,NA,NA,NA,BMW,M3,E30,NA,NA,Result: 35th (24 laps behind the winner)Grid: 94th (10:56.0980),35th (24 laps behind the winner)Grid: 94th (10:56.0980),finished,94,10:56.0980,24 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E30.html,NA,NA
nurburgring,2003-06-01,234,BMW M3 E36 - BMW,36,N4,,Closed bodywork,Front-engined,Urs Schild/Jochen Werner/Heinz Raab/Michael Schlüter,NA,NA,NA,NA,NA,BMW,M3,E36,NA,NA,Result: 36th 1st in N4 (24 laps behind the winner)Grid: 122nd (11:08.5520),36th 1st in N4 (24 laps behind the winner)Grid: 122nd (11:08.5520),finished,122,11:08.5520,24 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E36.html,NA,NA
nurburgring,2003-06-01,251,BMW 320d E46 - BMW,37,S1,Duller Motorsport,Closed bodywork,Front-engined,Philippe Haezebrouck (F)/Thierry Depoix (F)/Timo Frings,NA,NA,NA,NA,NA,BMW,320d,E46,NA,NA,Result: 37th (24 laps behind the winner)Grid: 177th (11:31.9900),37th (24 laps behind the winner)Grid: 177th (11:31.9900),finished,177,11:31.9900,24 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/320d.html,https://www.racingsportscars.com/suffix/photo/BMW/320d/E46.html,NA,NA
nurburgring,2003-06-01,163,Renault Clio RS Cup - Renault,38,A3,,-,-,Uwe Reich (D)/Marc von Niesewand (D)/Robert Lünsmann/Daniel Zils (D),NA,NA,NA,NA,NA,Renault,Clio,RS Cup,NA,NA,Result: 38th (24 laps behind the winner)Grid: 126th (11:10.6500),38th (24 laps behind the winner)Grid: 126th (11:10.6500),finished,126,11:10.6500,24 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/Renault.html,https://www.racingsportscars.com/type/photo/Renault/Clio.html,https://www.racingsportscars.com/suffix/photo/Renault/Clio/RS%20Cup.html,NA,NA
nurburgring,2003-06-01,63,BMW M3 E36 - BMW,39,A6,,Closed bodywork,Front-engined,John Lloyd (USA)/Helmut Bolz (D)/Peter Seher/Wolfgang Weber (D),NA,NA,NA,NA,NA,BMW,M3,E36,NA,NA,Result: 39th (24 laps behind the winner)Grid: 80th (10:46.9130),39th (24 laps behind the winner)Grid: 80th (10:46.9130),finished,80,10:46.9130,24 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/about.html#contrib,https://www.racingsportscars.com/make/photo/BMW.html,https://www.racingsportscars.com/type/photo/BMW/M3.html,https://www.racingsportscars.com/suffix/photo/BMW/M3/E36.html,NA,NA
