model_id,model,start_year,end_year,source_year,source_category,production_status,period_source_name,period_source_url,period_source_type,period_confidence,period_review_status,period_notes,period_reviewed_at,main_family,subfamily,lineage,generation,engine_architecture,engine_type,engine_location,seating_configuration,orientation,predecessor,predecessor_year,predecessor_relationship,successor,successor_year,successor_relationship,successor_in_dataset,alternative_predecessor,alternative_relationship,base_model,base_model_year,taxonomy_confidence,external_enrichment_required,taxonomy_notes,start_year_source,taxonomy_source,engine,displacement_cc,max_power_cv,rpm_max_power,top_speed_kmh,engine_position,engine_orientation,engine_angle_deg,compression_ratio,bore_mm,stroke_mm,weight_kg,wheelbase_mm,length_mm,width_mm,height_mm,image_url,url,description,source_origin
ferrari_1951_212_inter,212 Inter,1951,,1951,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2563,150,6500,200,front,longitudinal,60,7.5,68,59,1000,2600,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf07af8fc7b0aa90819e7-ferrari-212-inter-1951-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/212-inter,"Ferrari 212 Inter: The Gioacchino Colombo V12 was bored out to provide a bigger displacement. The chassis was inspired by that of the 166 MM, with modifications aimed at transmitting the higher power output to the road.",ferrari_past_models_scraper
ferrari_1951_342_america,342 America,1951,,1951,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4102,200,5000,186,front,longitudinal,60,8,80,68,1200,2650,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf0dc2cdb32285a79b14f-ferrari-342-america-1951-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/342-america,"Ferrari 342 America: Interest in Ferraris was growing among potential clients, but some were wary of the competition levels of performance provided by engines which reached the market with very little in the way of detuning.",ferrari_past_models_scraper
ferrari_1951_212_export,212 Export,1951,,1951,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2563,165,7000,220,front,longitudinal,60,8.4,68,59,850,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf1520cf6995f44de9301-ferrari-212-export-1951-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/212-export,"Ferrari 212 Export: Gioachino Colombo's V12 was given a further boost in power to 2562.51 cm3. A new chassis was constructed; one with a more rigid undercarriage, to be able to withstand the 150 bhp the engine was capable of delivering. ",ferrari_past_models_scraper
ferrari_1952_250_s,250 S,1952,,1952,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2953,230,7500,250,front,longitudinal,60,9,73,59,850,2250,3800,1570,1400,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf1c1f8fc7b0aa9081a34-ferrari-250-s-1952-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-s,"Ferrari 250 S: Based yet again on the designs of Gioachino Colombo developed Aurelio Lampredi, the V12 Ferrari was a three-litre with coachwork by Vignale and Touring.",ferrari_past_models_scraper
ferrari_1952_340_mexico,340 Mexico,1952,,1952,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4102,280,6600,282,front,longitudinal,60,8,80,68,900,2600,4201,1503,1333,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf2ae2cdb32285a79b1bc-ferrari-340-mexico-1952-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/340-mexico,Ferrari 340 Mexico: Resounding success in the 1951 Carrera Panamericana convinced Enzo Ferrari to create this car. Only four examples were built in all by Vignale: three Berlinettas and one Spider.,ferrari_past_models_scraper
ferrari_1952_225_s,Ferrari 225 S,1952,,1952,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2715,209,7200,230,front,longitudinal,60,8.5,70,59,850,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf258f8fc7b0aa9081a54-ferrari-225-s-1952-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/225-s,Ferrari 225 S: Ferrari continued with its development of two absolute jewels at this particular time: the two V12s designed respectively by Gioachino Colombo and Aurelio Lampredi.,ferrari_past_models_scraper
ferrari_1953_250_europa,250 Europa,1953,,1953,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2963,200,6300,218,front,longitudinal,60,8,68,68,1150,2800,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf3020cf6995f44de9304-ferrari_250_europa_1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-europa,"The Ferrari 250 Europa took over from the 212 Inter, and for economies of scale, shared the same chassis as the 375 America. The Lampredi V12 was kept below 3 litres.",ferrari_past_models_scraper
ferrari_1953_375_america,375 America,1953,,1953,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4522,300,6300,250,front,longitudinal,60,8,84,68,1150,2800,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf359f8fc7b0aa9081a93-ferrari-375-america-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/375-america,"Ferrari 375 America: Heir to the 342 America, this model was aimed at the same segment of the market. The Colombo-designed V12 was dropped in favour of the Aurelio Lampredi version that featured cylinder heads with twin inlet tracts.",ferrari_past_models_scraper
ferrari_1953_250_mm,250 MM,1953,,1953,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2953,239,7200,250,front,longitudinal,60,9,73,59,900,2400,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf3e1f8fc7b0aa9081ab7-ferrari-250-mm-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-mm,"Ferrari 250 MM: Two versions of the 250 Sport-derived 250 MM were built: a Pininfarina berlinetta, which hailed in a whole new era in design, and a barchetta by Vignale. Significant improvements had been made to both the engine and the suspensions with the addition of Houdaille shocks.",ferrari_past_models_scraper
ferrari_1953_340_mm,340 MM,1953,,1953,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4102,280,6600,282,front,longitudinal,60,8,80,68,850,2500,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf4762cdb32285a79b232-ferrari-340-mm-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/340-mm,The Ferrari 340 MM was built for the 1953 Mille Miglia which Giannino Marzotto duly won in a barchetta version with coachwork by Vignale. Marzotto set a new record speed for the race at an average of over 142 km/h.,ferrari_past_models_scraper
ferrari_1953_375_mm,375 MM,1953,,1953,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4523,340,7000,289,front,longitudinal,60,9,84,68,900,2600,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf50ef8fc7b0aa9081b02-ferrari-375-mm-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/375-mm,"The Ferrari 375 Mille Miglia carried on the Ferrari tradition of naming sports models after the famous Italian road race and was a spin-off of the F1 single-seater, just like its sister car, the 375 America, which was the GT equivalent.",ferrari_past_models_scraper
ferrari_1953_500_mondial,500 Mondial,1953,,1953,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,I4,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,4-cyl.,1985,170,7000,236,front,longitudinal,,8.5,90,78,720,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf664f8fc7b0aa9081b6b-ferrari-500-mondial-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/500-mondial,Ferrari 500 Mondial: The first of these cars was built by a young coachbuilder from Modena called Scaglietti and was inspired by a design created by Dino Ferrari to freshen up the look of the old 166 given to him by his father.,ferrari_past_models_scraper
ferrari_1953_625_tf,625 TF,1953,,1953,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V4,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V4,2498,220,7000,240,front,longitudinal,,9,94,90,730,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf58c84077c3b2433d81f-ferrari-625-tf-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/625-tf,Ferrari 625 TF: This is an interesting model from many points of view starting with the fact that the 625 of its name refers to the ccs of the 1954 F1 2.5-litre and the TF may refer to the Targa Florio even though the car never actually raced in it.,ferrari_past_models_scraper
ferrari_1953_735_s,735 S,1953,,1953,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,I4,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,4-cyl.,2942,224,6800,,front,longitudinal,,9,102,90,750,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf5ff84077c3b2433d845-ferrari-735-s-1953-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/735-s,Ferrari 735 S: The in-line 4-cylinder Ferrari engine started out its career in the 1950 Formula 2 Championship. This engine type had proved itself a winner on both twisty and fast circuits and so it was decided to transfer the technology to sports cars.,ferrari_past_models_scraper
ferrari_1954_250_gt_coupe,250 GT Coupé,1954,,1954,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2953,220,7000,230,front,longitudinal,60,8.5,73,59,1050,2600,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddbf79f0cf6995f44de9306-ferrari-250-gt-coupe-1954-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-gt-coupe,"Ferrari 250 GT Coupé: Presented at the Paris Motor Show in 1954, the 250 GT Coupé represented Ferrari's first attempt at standardising a model destined for the normal motorist. Developed from the 250 Europa, it was fitted with a version of the Colombo Type 125 engine fed by three classic Weber 36 DCZ carburettors.",ferrari_past_models_scraper
ferrari_1954_250_monza,250 Monza,1954,,1954,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,3000,260,6000,264,front,longitudinal,60,8.6,103,90,760,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd25192cdb32285a79ef75-ferrari-250-monza-1954-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-monza,"The Ferrari 250 Monza was powered by the V12 engine of the 250 MM, mounted in the highly capable chassis of the 750 Monza.",ferrari_past_models_scraper
ferrari_1954_375_plus,375 Plus,1954,,1954,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4954,330,6000,280,front,longitudinal,60,9.2,84,74,1030,2600,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd255f0cf6995f44de9328-ferrari-375-plus-1954-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/375-plus,"Ferrari 375 Plus: After winning the Auto Sport World Championships in 1953, Enzo Ferrari decided to build a small series of spiders that would spearhead the Scuderia’s latest assault on the World title.",ferrari_past_models_scraper
ferrari_1954_750_monza,750 Monza,1954,,1954,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,I4,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,4-cyl.,3000,239,7200,250,front,longitudinal,,9,73,59,850,2400,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd24ad2cdb32285a79ef58-ferrari-750-monza-1954-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/750-monza,Ferrari 750 Monza: The prototype made its debut at Monza in 1954 with an engine based on a development of the four-cylinder Type 555 and took both first and second positions.,ferrari_past_models_scraper
ferrari_1955_376_s,376 S,1955,,1955,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,I6,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,6-cyl.,3747,280,6200,,front,longitudinal,,8,94,90,850,2400,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd25cc2cdb32285a79efa4-ferrari-376-s-1954-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/376-s,"Ferrari 376 S: This is the very first sports car with a six-cylinder in-line engine, although another three-litre 306 engine was also been built but never used in competition.",ferrari_past_models_scraper
ferrari_1955_735_lm,735 LM,1955,,1955,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,I6,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,6-cyl.,4412,330,5800,280,front,longitudinal,,8.5,102,90,850,2400,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd262184077c3b2434153f-ferrari-735-lm-1954-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/735-lm,"Like the 376, the Ferrari 735 LM sported an in-line 6-cylinder engine. However, what made it unusual was that the 735 in its names refers to the displacement of just one cylinder, as was the case in the earliest models.",ferrari_past_models_scraper
ferrari_1955_857_s,857 S,1955,,1955,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,I4,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,4-cyl.,3432,280,6000,,front,longitudinal,,8.5,102,105,,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd26a02cdb32285a79eff4-ferrari-857-s-1955-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/857-s,The Ferrari 857 S was equipped with the largest displacement version of the legendary four-cylinder in-line which started its career with World Championship victories in 1952 and 1953 and was later upped to a three-litre with the same external block dimensions.,ferrari_past_models_scraper
ferrari_1956_250_gt_berlinetta,250 GT Berlinetta,1956,,1956,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,2953,239,7000,252,front,longitudinal,60,8.5,73,59,1050,2600,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd288cf8fc7b0aa90858f4-ferrari-250-gt-berlinetta-1956-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/250-gt-berlinetta,"Ferrari 250 GT Berlinetta: This was the first model in the legendary berlinetta series. These cars were not only perfect for driving to the track, but also for racing (and winning!) on it.",ferrari_past_models_scraper
ferrari_1956_410_superamerica,410 Superamerica,1956,,1956,Grand Touring,unknown,,,,unreviewed,not_in_manual_file,,,Front-engined V12 two-seat GT,Berlinetta / coupe,,,V12,combustion,front,,grand tourer,,,,,,,,,,,,low,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4963,340,6000,262,front,longitudinal,60,8.5,88,68,1200,2800,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd29f90cf6995f44de932c-ferrari-410-superamerica-1956-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/410-superamerica,"The engine that was to equip the Ferrari 410 Superamerica was presented on the chassis of the 375 America at the Paris Motor Show in October 1955. The car itself was unveiled to the public later, at the 1956 Brussels Motor Show. The elegant bodywork with its impressive dimensions was the work of Pinin Farina. It is a curious fact that this model, which was destined for series production, actually gave rise to a number of competition versions, reverting to Ferrari’s customary practice.",ferrari_past_models_scraper
ferrari_1956_290_mm,290 MM,1956,,1956,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,3491,320,7200,280,front,longitudinal,60,9,73,70,880,2350,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd2c422cdb32285a79f14c-ferrari-290-mm-1956-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/290-mm,"Designed for the 1956 Mille Miglia and as a replacement for the 860 Monza, the Ferrari 290MM was mounted with a V12 engine with dual ignition and dry sump derived from the 4.5-litre Grand Prix. Even though this engine could be described as belonging to Lampredi school, its bore and stroke measurements were really more reminiscent of Colombo’s V12 than anything else.",ferrari_past_models_scraper
ferrari_1956_410_s,410 S,1956,,1956,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,V12,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,V12,4963,340,6200,280,front,longitudinal,60,8.5,88,68,1200,2420,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd2bd284077c3b243416b9-ferrari-410-s-1956-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/410-s,"The Ferrari 410 S marked a return to the 12-cylinder theme, which had remained dear to Enzo Ferrari’s heart. A dual ignition V12 of almost 5000 ccs fed by three Weber 42DCZ/4 carburettors was mounted on a very light chassis with a wheel base of just 2500 mm while a De Dion axle controlled the rear wheels.",ferrari_past_models_scraper
ferrari_1956_500_tr,500 TR,1956,,1956,Sports Prototype,unknown,,,,unreviewed,not_in_manual_file,,,Sports-racing prototypes,Front-engined sports prototype,,,I4,combustion,front,race-specific,competition,,,,,,,,,,,,medium,TRUE,,ferrari_past_models.csv,rules based on repository data,4-cyl.,1985,179,7000,245,front,longitudinal,,8.5,90,78,680,2250,,,,https://cdn.ferrari.com/cms/network/media/img/resize/5ddd2aba2cdb32285a79f0ec-ferrari-500-tr-1956-thumb?width=1600&height=1080,https://www.ferrari.com/en-EN/auto/500-tr,"Ferrari 500 TR: Ferrari needed a very new special weapon with which to take on the Maserati four-cylinder two-litre. With this in mind, the 2200cc derived from the Mondial was handed over to a former Maserati engineer named Massimino who made it more reliable and powerful.",ferrari_past_models_scraper
